"movie_name";"daily_gross";"gross_to_date";"gross_per_theater";"date"
"Sinbad: Legend of the Seven Seas";74771;25538468;86;2003-07-31
"2 Fast 2 Furious";51255;125018210;135;2003-07-31
"Bend It Like Beckham";49588;26480927;417;2003-07-31
"Rugrats Go Wild";26502;38338457;74;2003-07-31
"X2: X-Men United";18504;214488742;119;2003-07-31
"Northfork";14149;416611;345;2003-07-31
"Alex and Emma";12931;14122182;76;2003-07-31
"Lucia, Lucia";9022;105087;184;2003-07-31
"L'Auberge Espagnole";7489;2651048;187;2003-07-31
"Man on the Train";6094;2339669;122;2003-07-31
"The Holy Land";3883;122004;777;2003-07-31
"The In-Laws";3611;20453431;61;2003-07-31
"The Lord of the Rings: The Two Towers";3592;339751253;112;2003-07-31
"A Mighty Wind";2853;17521077;124;2003-07-31
"Together";2339;1059181;117;2003-07-31
"The Dancer Upstairs";427;2366864;39;2003-07-31
"House of Fools";205;56332;205;2003-07-31
"New Suit";36;47648;36;2003-07-31
"Jeepers Creepers 2";4514179;15269324;1445;2003-08-31
"Freaky Friday";3243192;87462351;1057;2003-08-31
"Open Range";3110799;40809053;1386;2003-08-31
"Pirates of the Caribbean: The Curse of the Black Pearl";3086987;272169924;1386;2003-08-31
"S.W.A.T.";3036672;100256983;1092;2003-08-31
"Seabiscuit";2568780;102102670;1005;2003-08-31
"Freddy Vs. Jason";2465000;72395735;842;2003-08-31
"The Medallion";1708247;15339957;644;2003-08-31
"Uptown Girls";1482460;29074071;684;2003-08-31
"American Wedding";1411755;96671705;780;2003-08-31
"My Boss's Daughter";1187000;10595431;538;2003-08-31
"The Italian Job";1104282;99895761;562;2003-08-31
"Spy Kids 3D: Game Over";985000;106198324;413;2003-08-31
"Finding Nemo";626838;331921877;595;2003-08-31
"Bad Boys II";579404;134610107;667;2003-08-31
"Le Divorce";551705;5785976;787;2003-08-31
"Whale Rider";415675;16492025;826;2003-08-31
"Lara Croft Tomb Raider: The Cradle of Life";409937;63677808;398;2003-08-31
"Dirty Pretty Things";365000;4337684;953;2003-08-31
"American Splendor";275000;1772289;3125;2003-08-31
"The Matrix Reloaded";245151;279617572;687;2003-08-31
"The Magdalene Sisters";216000;1751118;1064;2003-08-31
"Thirteen";210172;837271;2879;2003-08-31
"Legally Blonde 2: Red, White and Blonde";205034;89684776;251;2003-08-31
"The Secret Lives of Dentists";174000;1900062;1094;2003-08-31
"Step Into Liquid";164000;1610306;2158;2003-08-31
"The League of Extraordinary Gentlemen";148762;65129577;474;2003-08-31
"28 Days Later";145201;44113338;660;2003-08-31
"Swimming Pool";140000;8887276;654;2003-08-31
"Charlie's Angels: Full Throttle";137502;100163675;412;2003-08-31
"Bruce Almighty";128745;240863285;445;2003-08-31
"Terminator 3: Rise of the Machines";123191;149008295;407;2003-08-31
"Bend It Like Beckham";76768;31652483;505;2003-08-31
"Daddy Day Care";75607;103029198;335;2003-08-31
"Marci X";74114;1469115;62;2003-08-31
"Johnny English";57025;27593050;380;2003-08-31
"Hulk";53070;131723245;290;2003-08-31
"2 Fast 2 Furious";49595;126749460;310;2003-08-31
"Sinbad: Legend of the Seven Seas";49273;26125592;200;2003-08-31
"Grind";43071;4984630;133;2003-08-31
"The Battle of Shaker Heights";34468;186599;2651;2003-08-31
"Rugrats Go Wild";31032;39260240;204;2003-08-31
"And Now Ladies and Gentlemen";31001;485672;646;2003-08-31
"The Legend of Johnny Lingo";30000;109868;476;2003-08-31
"Civil Brand";29300;99296;837;2003-08-31
"Northfork";21179;1207126;385;2003-08-31
"The Holy Land";6655;370011;739;2003-08-31
"X2: X-Men United";6169;214901352;154;2003-08-31
"Man on the Train";2511;2464318;279;2003-08-31
"L'Auberge Espagnole";1950;2799135;195;2003-08-31
"The Rundown";1213985;20965510;385;2003-09-30
"Under the Tuscan Sun";890718;11415698;727;2003-09-30
"Underworld";742021;38489091;253;2003-09-30
"Secondhand Lions";506000;24460037;167;2003-09-30
"Once Upon a Time in Mexico";413769;49743338;142;2003-09-30
"Matchstick Men";334415;31329696;125;2003-09-30
"Cold Creek Manor";322557;15260568;159;2003-09-30
"Lost in Translation";320000;9255000;656;2003-09-30
"Duplex";293000;5173128;134;2003-09-30
"The Fighting Temptations";264406;20673320;131;2003-09-30
"Pirates of the Caribbean: The Curse of the Black Pearl";164575;296019087;114;2003-09-30
"Dickie Roberts: Former Child Star";73833;20981626;38;2003-09-30
"Seabiscuit";70080;117532315;80;2003-09-30
"Anything Else";63265;2903517;61;2003-09-30
"Open Range";62339;57017719;67;2003-09-30
"Freaky Friday";52287;106915128;37;2003-09-30
"Thirteen";34363;3763702;164;2003-09-30
"Jeepers Creepers 2";30781;34350476;53;2003-09-30
"American Wedding";24995;103848595;75;2003-09-30
"Whale Rider";24476;20102147;103;2003-09-30
"Scarface (Re-issue)";23254;698839;1938;2003-09-30
"The Italian Job";20687;105662692;79;2003-09-30
"Uptown Girls";14352;36669253;38;2003-09-30
"Bruce Almighty";13260;242228190;65;2003-09-30
"Terminator 3: Rise of the Machines";12461;150171316;44;2003-09-30
"The Matrix Reloaded";11575;281071684;101;2003-09-30
"The League of Extraordinary Gentlemen";10830;66246177;70;2003-09-30
"Le Divorce";9733;8941844;87;2003-09-30
"Bend It Like Beckham";8308;32457024;84;2003-09-30
"The Order";7009;7547574;95;2003-09-30
"28 Days Later";6594;44981455;71;2003-09-30
"Lara Croft Tomb Raider: The Cradle of Life";3082;65137135;39;2003-09-30
"And Now Ladies and Gentlemen";1706;690652;66;2003-09-30
"Northfork";879;1371010;37;2003-09-30
"Man on the Train";569;2508490;63;2003-09-30
"Millennium Actress";127;37586;42;2003-09-30
"Scary Movie 3";4416000;61939246;1260;2003-10-31
"The Texas Chainsaw Massacre";3708000;58936713;1248;2003-10-31
"Radio";1994436;18600805;649;2003-10-31
"Runaway Jury";1597851;28388089;584;2003-10-31
"Mystic River";1378447;28692659;889;2003-10-31
"Kill Bill Vol. 1";949000;57221322;391;2003-10-31
"School of Rock";733886;65455598;263;2003-10-31
"Intolerable Cruelty";564740;29962265;340;2003-10-31
"In the Cut";551624;727965;669;2003-10-31
"Good Boy!";415298;33411185;162;2003-10-31
"Under the Tuscan Sun";386300;38520257;338;2003-10-31
"Alien: The Director's Cut";362896;626791;1046;2003-10-31
"The Human Stain";261000;261000;1631;2003-10-31
"Lost in Translation";252000;23863000;483;2003-10-31
"Beyond Borders";250955;3052245;140;2003-10-31
"Out of Time";244306;38476616;223;2003-10-31
"Secondhand Lions";170000;40440927;214;2003-10-31
"Underworld";165151;51235439;122;2003-10-31
"The Rundown";112125;46583035;195;2003-10-31
"Pirates of the Caribbean: The Curse of the Black Pearl";95000;301485093;287;2003-10-31
"The Fighting Temptations";49477;29458456;185;2003-10-31
"Pieces of April";44946;363918;789;2003-10-31
"Seabiscuit";34080;119456510;160;2003-10-31
"Matchstick Men";33120;36455469;132;2003-10-31
"Shattered Glass";16702;16702;2088;2003-10-31
"Brother Bear";16691;398317;8346;2003-10-31
"S.W.A.T.";16141;116567672;96;2003-10-31
"Elephant";7692;144345;1282;2003-10-31
"Lara Croft Tomb Raider: The Cradle of Life";6483;65598171;84;2003-10-31
"The Singing Detective";5769;44962;275;2003-10-31
"Whale Rider";3285;20684927;54;2003-10-31
"Thirteen";3007;4519753;77;2003-10-31
"The League of Extraordinary Gentlemen";2201;66449056;138;2003-10-31
"The Italian Job";1703;106120054;95;2003-10-31
"Dickie Roberts: Former Child Star";1093;22560417;46;2003-10-31
"Northfork";846;1407104;85;2003-10-31
"And Now Ladies and Gentlemen";696;729053;174;2003-10-31
"Man on the Train";306;2534944;51;2003-10-31
"The Cat in the Hat";5079155;75830805;1465;2003-11-30
"The Haunted Mansion";5030807;34046111;1611;2003-11-30
"Elf";3810000;129009719;1190;2003-11-30
"Bad Santa";2824000;16801187;1408;2003-11-30
"Gothika";2730088;41277711;1146;2003-11-30
"The Missing";2234714;15232287;811;2003-11-30
"Master and Commander: The Far Side of the World";2193346;66632517;811;2003-11-30
"Timeline";1693524;12424762;608;2003-11-30
"Love Actually";1654010;43390140;965;2003-11-30
"Brother Bear";987035;77695232;485;2003-11-30
"The Matrix Revolutions";884780;133332436;431;2003-11-30
"Looney Tunes: Back in Action";623742;18672060;292;2003-11-30
"Mystic River";337890;50948862;436;2003-11-30
"Radio";266804;50010406;242;2003-11-30
"21 Grams";245557;1598378;3364;2003-11-30
"Scary Movie 3";182000;108497871;137;2003-11-30
"Runaway Jury";116165;48035448;225;2003-11-30
"Lost in Translation";116000;28901635;655;2003-11-30
"The Human Stain";116000;4728987;327;2003-11-30
"School of Rock";81448;78651437;144;2003-11-30
"Tupac: Resurrection";81223;7474138;122;2003-11-30
"Pieces of April";58135;1962946;581;2003-11-30
"In America";54550;260353;4959;2003-11-30
"The Cooler";34211;171621;3110;2003-11-30
"Intolerable Cruelty";25050;34996720;150;2003-11-30
"The Fighting Temptations";19660;30104999;180;2003-11-30
"The Barbarian Invasions";18834;188217;2354;2003-11-30
"Out of Time";17730;40905277;114;2003-11-30
"The Rundown";16885;47592825;136;2003-11-30
"Good Boy!";16526;37566230;72;2003-11-30
"Seabiscuit";15680;120147445;160;2003-11-30
"The Singing Detective";5721;293296;147;2003-11-30
"Thirteen";1265;4589737;181;2003-11-30
"The Lord of the Rings: The Return of the King";7509391;249445927;2028;2003-12-31
"Cheaper by the Dozen";6612709;55618744;2005;2003-12-31
"Something's Gotta Give";4026102;65230765;1486;2003-12-31
"Cold Mountain";3602000;28050727;1665;2003-12-31
"Peter Pan";2180075;22111465;775;2003-12-31
"Mona Lisa Smile";2144130;38594145;801;2003-12-31
"Paycheck";1988625;25022077;720;2003-12-31
"The Last Samurai";1696183;79722506;663;2003-12-31
"Elf";835000;167547300;414;2003-12-31
"The Haunted Mansion";702961;67016288;433;2003-12-31
"Stuck on You";661885;26763656;276;2003-12-31
"Bad Santa";546000;52850195;319;2003-12-31
"Big Fish";460796;4965533;3716;2003-12-31
"House of Sand and Fog";428175;2945925;978;2003-12-31
"Master and Commander: The Far Side of the World";312525;81531748;416;2003-12-31
"The Cat in the Hat";292275;98050995;225;2003-12-31
"In America";280891;3681206;864;2003-12-31
"Love Don't Cost a Thing";267072;17602676;236;2003-12-31
"21 Grams";172000;5454830;591;2003-12-31
"Love Actually";167280;56446240;410;2003-12-31
"Honey";155800;27368200;205;2003-12-31
"Brother Bear";148620;82580265;264;2003-12-31
"Calendar Girls";122586;1065244;2919;2003-12-31
"Mystic River";67337;53765605;335;2003-12-31
"Looney Tunes: Back in Action";52835;20382757;157;2003-12-31
"School of Rock";47782;79870600;171;2003-12-31
"Gothika";37452;57711948;92;2003-12-31
"The Matrix Revolutions";32250;138041173;278;2003-12-31
"Monster";14622;158640;3656;2003-12-31
"Runaway Jury";13907;48931905;130;2003-12-31
"Timeline";6894;19068097;22;2003-12-31
"Pieces of April";2407;2370451;96;2003-12-31
"The Singing Detective";75;326171;25;2003-12-31
"You Got Served";7512820;13338803;3887;2004-01-31
"Along Came Polly";4762395;64598430;1560;2004-01-31
"The Butterfly Effect";4585000;30214000;1760;2004-01-31
"The Lord of the Rings: The Return of the King";2739574;344131995;1214;2004-01-31
"Big Fish";2336326;54513467;1025;2004-01-31
"Mystic River";2301166;64083461;1680;2004-01-31
"The Perfect Score";2256792;4275119;1022;2004-01-31
"Cheaper by the Dozen";2249039;127116260;939;2004-01-31
"Cold Mountain";2140000;77642000;856;2004-01-31
"Win a Date with Tad Hamilton!";2005139;12435401;714;2004-01-31
"Something's Gotta Give";1759038;111279925;1099;2004-01-31
"Monster";1671102;9776963;2502;2004-01-31
"The Big Bounce";1560222;2825644;677;2004-01-31
"Calendar Girls";1558951;24564585;1619;2004-01-31
"Master and Commander: The Far Side of the World";1140998;87182067;1021;2004-01-31
"Lost in Translation";1124000;37044000;1778;2004-01-31
"Torque";763127;19460338;495;2004-01-31
"The Last Samurai";631328;107233198;781;2004-01-31
"Girl with a Pearl Earring";621000;3830000;1588;2004-01-31
"My Baby's Daddy";422000;16648000;579;2004-01-31
"In America";384904;9880566;1318;2004-01-31
"Peter Pan";332140;46198875;450;2004-01-31
"House of Sand and Fog";208320;10866304;595;2004-01-31
"Teacher's Pet";201143;5898504;314;2004-01-31
"Mona Lisa Smile";144227;62889318;328;2004-01-31
"Paycheck";134395;53103416;217;2004-01-31
"The Missing";55704;26675995;264;2004-01-31
"Love Actually";54750;59055855;375;2004-01-31
"Stuck on You";51942;33434398;245;2004-01-31
"Honey";49185;29973370;300;2004-01-31
"Chasing Liberty";42340;11994888;249;2004-01-31
"The Matrix Revolutions";40073;139060698;226;2004-01-31
"School of Rock";38034;81038007;325;2004-01-31
"Gothika";21465;58946554;294;2004-01-31
"Love Don't Cost a Thing";21211;21580760;299;2004-01-31
"Timeline";18737;19431683;189;2004-01-31
"Runaway Jury";17826;49355770;283;2004-01-31
"The Singing Detective";140;336381;35;2004-01-31
"The Passion of the Christ";27860195;125185971;9156;2004-02-29
"50 First Dates";2922394;88683963;847;2004-02-29
"Twisted";2050054;8904299;758;2004-02-29
"Confessions of a Teenage Drama Queen";1720772;16905932;687;2004-02-29
"Dirty Dancing: Havana Nights";1225000;5811325;600;2004-02-29
"Miracle";1053203;56328330;474;2004-02-29
"Eurotrip";1005103;12758176;395;2004-02-29
"Barbershop 2: Back in Business";785194;57575543;515;2004-02-29
"Welcome to Mooseport";718987;11539863;251;2004-02-29
"Club Dread";709630;3035688;393;2004-02-29
"The Lord of the Rings: The Return of the King";657197;364115612;591;2004-02-29
"Monster";479577;26815005;495;2004-02-29
"Mystic River";473119;82234706;421;2004-02-29
"The Butterfly Effect";324000;55377579;313;2004-02-29
"You Got Served";319002;38145620;391;2004-02-29
"Against the Ropes";306822;5104925;192;2004-02-29
"Cold Mountain";296000;92685850;266;2004-02-29
"Catch That Kid";178404;15832628;345;2004-02-29
"Something's Gotta Give";165754;122736489;247;2004-02-29
"Along Came Polly";162680;86149245;245;2004-02-29
"In America";95824;14058905;474;2004-02-29
"Cheaper by the Dozen";88285;135905795;235;2004-02-29
"Big Fish";80729;65815103;218;2004-02-29
"Master and Commander: The Far Side of the World";67820;92569819;291;2004-02-29
"Peter Pan";49335;47785570;165;2004-02-29
"Calendar Girls";47783;30035277;180;2004-02-29
"The Dreamers";45091;1615508;442;2004-02-29
"House of Sand and Fog";43058;12544025;283;2004-02-29
"The Last Samurai";41098;110330124;302;2004-02-29
"Paycheck";31821;53557367;153;2004-02-29
"Osama";17728;387959;985;2004-02-29
"Gothika";12338;59537388;85;2004-02-29
"Love Don't Cost a Thing";12026;21861424;165;2004-02-29
"Stuck on You";6691;33797950;112;2004-02-29
"Win a Date with Tad Hamilton!";5412;16964743;64;2004-02-29
"Torque";3734;20878712;91;2004-02-29
"Chasing Liberty";3292;12189514;54;2004-02-29
"School of Rock";3008;81257845;150;2004-02-29
"The Perfect Score";2768;10312483;19;2004-02-29
"The Big Bounce";2176;6424223;91;2004-02-29
"The Lost Skeleton of Cadavra";1548;61237;387;2004-02-29
"Scooby-Doo 2: Monsters Unleashed";1333116;33685911;403;2004-03-31
"The Passion of the Christ";1275112;318972677;397;2004-03-31
"The Ladykillers";928842;15531109;587;2004-03-31
"Dawn of the Dead";686665;46501450;250;2004-03-31
"Jersey Girl";591000;10126000;389;2004-03-31
"Taking Lives";565190;23441552;209;2004-03-31
"Eternal Sunshine of the Spotless Mind";477000;18025000;352;2004-03-31
"Starsky and Hutch";463269;78233993;155;2004-03-31
"Hidalgo";422353;57690963;158;2004-03-31
"Secret Window";358201;41643216;123;2004-03-31
"50 First Dates";174004;117260417;99;2004-03-31
"Never Die Alone";173794;3705720;150;2004-03-31
"Agent Cody Banks 2: Destination London";128337;21805804;53;2004-03-31
"NASCAR 3D: The IMAX Experience (IMAX)";95846;5240928;1369;2004-03-31
"The Lord of the Rings: The Return of the King";71951;374757103;109;2004-03-31
"Confessions of a Teenage Drama Queen";34112;28579920;57;2004-03-31
"Monster";30212;34046742;53;2004-03-31
"Twisted";30006;24791832;37;2004-03-31
"Cheaper by the Dozen";28461;137612536;93;2004-03-31
"Mystic River";23674;88839034;68;2004-03-31
"Spartan";22030;4209915;87;2004-03-31
"Barbershop 2: Back in Business";13746;62624270;43;2004-03-31
"Along Came Polly";12450;87636770;60;2004-03-31
"Master and Commander: The Far Side of the World";11327;93592448;66;2004-03-31
"Eurotrip";8005;17742425;98;2004-03-31
"In America";7104;15347690;84;2004-03-31
"Osama";6140;872967;246;2004-03-31
"The Last Samurai";6008;111074195;36;2004-03-31
"Peter Pan";5040;48434235;39;2004-03-31
"House of Sand and Fog";5021;13020417;67;2004-03-31
"Torque";4930;21141279;41;2004-03-31
"The Dreamers";4564;2388681;111;2004-03-31
"Against the Ropes";4254;5871153;40;2004-03-31
"Welcome to Mooseport";4231;14353331;30;2004-03-31
"Catch That Kid";3440;16590199;32;2004-03-31
"The Reckoning";2379;129731;95;2004-03-31
"The Perfect Score";675;10390176;15;2004-03-31
"The Lost Skeleton of Cadavra";300;101486;100;2004-03-31
"Paycheck";290;53790202;19;2004-03-31
"Mean Girls";8571562;8571562;3019;2004-04-30
"Man on Fire";4218342;33501158;1413;2004-04-30
"13 Going on 30";3218285;28402767;932;2004-04-30
"Godsend";2394000;2394000;1031;2004-04-30
"Laws of Attraction";2240000;2240000;915;2004-04-30
"Envy";2109188;2109188;863;2004-04-30
"Kill Bill Vol. 2";1607000;48403000;601;2004-04-30
"The Punisher";954000;27196000;421;2004-04-30
"Johnson Family Vacation";478936;26020047;429;2004-04-30
"Hellboy";474355;56137408;303;2004-04-30
"Walking Tall";446313;41688454;281;2004-04-30
"Home on the Range";423292;43714062;211;2004-04-30
"Ella Enchanted";421000;18403000;219;2004-04-30
"Scooby-Doo 2: Monsters Unleashed";400181;77783611;209;2004-04-30
"Bobby Jones: Stroke of Genius";394005;394005;296;2004-04-30
"The Passion of the Christ";343139;365620755;187;2004-04-30
"The Alamo (2004)";246339;20618585;263;2004-04-30
"Eternal Sunshine of the Spotless Mind";230000;30351000;567;2004-04-30
"The Ladykillers";206834;37403058;271;2004-04-30
"Connie and Carla";187720;6713485;260;2004-04-30
"The Whole Ten Yards";149071;15563712;259;2004-04-30
"The Girl Next Door";140857;13666846;361;2004-04-30
"NASCAR 3D: The IMAX Experience (IMAX)";114398;9456642;1589;2004-04-30
"The Prince and Me";98488;26923565;115;2004-04-30
"Starsky and Hutch";96694;86803510;298;2004-04-30
"Clifford's Really Big Movie";80948;2093025;172;2004-04-30
"Dawn of the Dead";77740;57851570;260;2004-04-30
"Secret Window";60353;47265946;229;2004-04-30
"Barbershop 2: Back in Business";53763;63867129;157;2004-04-30
"Mystic River";44675;89859719;162;2004-04-30
"50 First Dates";41964;119364204;381;2004-04-30
"The Lord of the Rings: The Return of the King";39716;376441668;180;2004-04-30
"Taking Lives";32558;32244909;374;2004-04-30
"Cheaper by the Dozen";11454;138474007;115;2004-04-30
"Twisted";8619;25084944;74;2004-04-30
"Never Die Alone";4642;5586806;141;2004-04-30
"Monster";4450;34400928;67;2004-04-30
"In America";2846;15496172;150;2004-04-30
"The United States of Leland";2673;314044;79;2004-04-30
"The Dreamers";2544;2499901;283;2004-04-30
"Master and Commander: The Far Side of the World";2184;93911689;57;2004-04-30
"The Reckoning";387;219276;77;2004-04-30
"Shrek 2";23408002;260313719;5543;2004-05-31
"The Day After Tomorrow";17063757;85807341;4982;2004-05-31
"Troy";3382418;109986882;992;2004-05-31
"Raising Helen";3253655;14239252;1198;2004-05-31
"Van Helsing";1488865;110728815;515;2004-05-31
"Mean Girls";1401779;73710506;535;2004-05-31
"Soul Plane";1360225;7008711;869;2004-05-31
"Man on Fire";580020;73722956;407;2004-05-31
"13 Going on 30";378832;54561017;325;2004-05-31
"Super Size Me";319541;4934453;1622;2004-05-31
"Breakin' All the Rules";221504;10984460;249;2004-05-31
"Kill Bill Vol. 2";183397;64084276;412;2004-05-31
"NASCAR 3D: The IMAX Experience (IMAX)";129253;12306059;2052;2004-05-31
"Saved!";114250;459386;5713;2004-05-31
"Walking Tall";111582;45860039;168;2004-05-31
"A Day Without a Mexican";110311;2040862;1031;2004-05-31
"Coffee and Cigarettes";98078;816020;2724;2004-05-31
"Eternal Sunshine of the Spotless Mind";85578;33473509;458;2004-05-31
"New York Minute";84203;13486603;139;2004-05-31
"The Passion of the Christ";62642;369727030;109;2004-05-31
"The Prince and Me";51477;27818844;223;2004-05-31
"50 First Dates";50831;120196997;229;2004-05-31
"Starsky and Hutch";46445;87588491;138;2004-05-31
"Johnson Family Vacation";37231;30344547;190;2004-05-31
"Love Me If You Dare";32091;158040;783;2004-05-31
"Dawn of the Dead";16170;58885635;170;2004-05-31
"Scooby-Doo 2: Monsters Unleashed";14426;82247130;94;2004-05-31
"Connie and Carla";9755;8054280;163;2004-05-31
"The Girl Next Door";6428;14507466;134;2004-05-31
"The Lord of the Rings: The Return of the King";6179;377019252;101;2004-05-31
"Taking Lives";5184;32682342;118;2004-05-31
"The Whole Ten Yards";2337;16191235;60;2004-05-31
"The Reckoning";906;239817;129;2004-05-31
"The United States of Leland";276;341755;28;2004-05-31
"Spider-Man 2";40442604;40442604;9741;2004-06-30
"Fahrenheit 9/11";3353000;35674000;2832;2004-06-30
"DodgeBall: A True Underdog Story";1806197;74538919;598;2004-06-30
"The Notebook";1778000;19500000;772;2004-06-30
"White Chicks";1737148;33450491;637;2004-06-30
"Shrek 2";1224214;400977740;417;2004-06-30
"Harry Potter and the Prisoner of Azkaban";1204222;215877149;401;2004-06-30
"The Terminal";1154977;45176338;396;2004-06-30
"Garfield: The Movie";762267;59197396;290;2004-06-30
"Two Brothers";641555;8374490;295;2004-06-30
"The Stepford Wives";464867;50704545;321;2004-06-30
"The Day After Tomorrow";343491;177162699;224;2004-06-30
"The Chronicles of Riddick";258225;52521495;165;2004-06-30
"Around the World in 80 Days";244732;19729638;174;2004-06-30
"Troy";63080;131239106;123;2004-06-30
"Napoleon Dynamite";60318;1160432;826;2004-06-30
"NASCAR 3D: The IMAX Experience (IMAX)";50682;14145062;956;2004-06-30
"Mean Girls";39981;83609278;182;2004-06-30
"Saved!";39786;8167832;178;2004-06-30
"Scooby-Doo 2: Monsters Unleashed";31896;83067482;123;2004-06-30
"Raising Helen";31049;35993743;142;2004-06-30
"Van Helsing";30845;118672750;110;2004-06-30
"Man on Fire";15132;77056259;78;2004-06-30
"Coffee and Cigarettes";8583;1742008;215;2004-06-30
"Johnson Family Vacation";6875;30915072;93;2004-06-30
"Soul Plane";6340;13950307;45;2004-06-30
"New York Minute";4992;14037631;39;2004-06-30
"Starsky and Hutch";4019;88214912;49;2004-06-30
"A Day Without a Mexican";3267;3166546;172;2004-06-30
"Love Me If You Dare";1616;487205;90;2004-06-30
"I'll Sleep When I'm Dead";1056;31744;528;2004-06-30
"The Reckoning";50;257177;50;2004-06-30
"The Village";17477381;37860045;4686;2004-07-31
"The Bourne Supremacy";9555990;91643425;3005;2004-07-31
"The Manchurian Candidate";8007448;14113127;2793;2004-07-31
"I, Robot";4175518;111925138;1303;2004-07-31
"Spider-Man 2";3507392;341772127;1169;2004-07-31
"Catwoman";2461573;27826522;790;2004-07-31
"A Cinderella Story";1793237;38848882;763;2004-07-31
"Harold and Kumar Go to White Castle";1786000;3736000;837;2004-07-31
"Fahrenheit 9/11";1233000;108415000;1013;2004-07-31
"Anchorman: The Legend of Ron Burgundy";1156565;77213823;569;2004-07-31
"Thunderbirds";1049070;1943865;510;2004-07-31
"The Notebook";1016000;67445000;675;2004-07-31
"King Arthur";579047;48119139;511;2004-07-31
"Shrek 2";517016;432040000;507;2004-07-31
"Napoleon Dynamite";503761;8824351;1191;2004-07-31
"De-Lovely";486744;6562121;1264;2004-07-31
"Harry Potter and the Prisoner of Azkaban";387120;243549316;640;2004-07-31
"White Chicks";241407;68095571;430;2004-07-31
"The Terminal";232391;75770784;401;2004-07-31
"DodgeBall: A True Underdog Story";229331;110931063;413;2004-07-31
"Maria Full of Grace";202000;790000;3108;2004-07-31
"Before Sunset";187673;3082646;924;2004-07-31
"Garfield: The Movie";159205;72709933;331;2004-07-31
"The Door in the Floor";156689;1883390;1224;2004-07-31
"The Day After Tomorrow";125391;184592103;424;2004-07-31
"NASCAR 3D: The IMAX Experience (IMAX)";120557;16555937;2275;2004-07-31
"The Chronicles of Riddick";77970;57127060;345;2004-07-31
"Garden State";72665;209470;8074;2004-07-31
"The Clearing";72290;5358751;466;2004-07-31
"Two Brothers";66555;18420465;255;2004-07-31
"Mean Girls";54057;85484637;276;2004-07-31
"Troy";46274;132910214;158;2004-07-31
"A Home at the End of the World";45237;174651;1740;2004-07-31
"The Stepford Wives";38659;58486247;284;2004-07-31
"Van Helsing";32760;120001890;260;2004-07-31
"Scooby-Doo 2: Monsters Unleashed";28590;84028931;236;2004-07-31
"Intimate Strangers";22908;36535;4582;2004-07-31
"Man on Fire";19042;77760573;251;2004-07-31
"I'll Sleep When I'm Dead";6117;269801;510;2004-07-31
"Love Me If You Dare";1208;529533;110;2004-07-31
"Hero";1558000;21403000;767;2004-08-31
"The Princess Diaries 2: Royal Engagement";846146;76765364;254;2004-08-31
"Anacondas: The Hunt for the Blood Orchid";823919;14572703;284;2004-08-31
"Without a Paddle";822303;29493941;301;2004-08-31
"Exorcist: The Beginning";631568;32503667;225;2004-08-31
"Collateral";609076;81367690;223;2004-08-31
"Open Water";478000;24275000;176;2004-08-31
"The Bourne Supremacy";446985;158653965;215;2004-08-31
"Alien Vs. Predator";440466;73088960;153;2004-08-31
"Suspect Zero";336649;4152866;224;2004-08-31
"Garden State";325767;11523298;437;2004-08-31
"Super Babies: Baby Geniuses 2";310720;3884733;244;2004-08-31
"Napoleon Dynamite";265962;22946347;377;2004-08-31
"The Manchurian Candidate";247141;59505744;167;2004-08-31
"The Village";160697;110841331;103;2004-08-31
"Spider-Man 2";149184;368120841;126;2004-08-31
"Yu-Gi-Oh! The Movie";139425;18399165;66;2004-08-31
"I, Robot";113146;140773849;113;2004-08-31
"De-Lovely";68063;11724704;222;2004-08-31
"Little Black Book";60941;19926177;79;2004-08-31
"Harry Potter and the Prisoner of Azkaban";49612;247700608;127;2004-08-31
"We Don't Live Here Anymore";38957;872905;433;2004-08-31
"DodgeBall: A True Underdog Story";31693;113400976;128;2004-08-31
"Garfield: The Movie";20953;74739263;89;2004-08-31
"Intimate Strangers";20678;1182546;227;2004-08-31
"A Cinderella Story";16988;50584185;84;2004-08-31
"Before Sunset";15937;4810097;181;2004-08-31
"The Day After Tomorrow";15657;186219448;88;2004-08-31
"NASCAR 3D: The IMAX Experience (IMAX)";15537;18150548;277;2004-08-31
"The Stepford Wives";11488;59365166;86;2004-08-31
"Catwoman";11339;39411377;68;2004-08-31
"Mean Creek";8919;149668;388;2004-08-31
"A Home at the End of the World";7796;903547;144;2004-08-31
"Code 46";3997;204466;266;2004-08-31
"The Clearing";1979;5713107;86;2004-08-31
"Mean Girls";1533;86030302;19;2004-08-31
"I'll Sleep When I'm Dead";208;323767;35;2004-08-31
"Love Me If You Dare";75;541451;25;2004-08-31
"The Forgotten";1117348;26264790;360;2004-09-30
"Sky Captain and the World of Tomorrow";377186;27311799;119;2004-09-30
"Resident Evil: Apocalypse";292116;44717384;103;2004-09-30
"Mr. 3000";250329;16574878;91;2004-09-30
"Shaun of the Dead";250000;4452421;412;2004-09-30
"Cellular";243000;26143434;88;2004-09-30
"Wimbledon";224290;13098555;110;2004-09-30
"First Daughter";214340;4966734;95;2004-09-30
"Without a Paddle";158074;54133254;68;2004-09-30
"Napoleon Dynamite";119687;36222995;117;2004-09-30
"Collateral";113266;98638556;88;2004-09-30
"Garden State";93698;22915358;141;2004-09-30
"The Bourne Supremacy";92885;172624145;90;2004-09-30
