"movie_name";"max.gross_to_date"
"Friends with Kids";7242870
"Friends with Money";12538000
"Fright Night (2011)";15423379
"From Justin to Kelly";4716605
"From Mexico with Love";543311
"From Paris with Love";23324666
"From Prada to Nada";3033623
"From Up on Poppy Hill";975077
"Frost/Nixon";17787466
"Frozen";400214993
"Frozen (2010)";229202
"Fruitvale Station";16101339
"Fun Size";9325810
"Fun with Dick and Jane";106643734
"Funny Games";1294844
"Funny People";51361540
"Fur: An Imaginary Portrait of Diane Arbus";165111
"Furious 7";349249360
"Furry Vengeance";17350395
"Fury (2014)";85244339
"G-Force";112011669
"G.I. Joe: Retaliation";122400466
"G.I. Joe: The Rise of Cobra";150135000
"Gabo: The Creation of Gabriel Garcia Marquez";16418
"Gabrielle (2014)";4844
"Galaxy Quest";71423726
"Game of Thrones (IMAX)";1254420
"Gamer";20304899
"Gangs of New York";77724935
"Gangster Squad";45996718
"Garden State";26745860
"Garfield: A Tail of Two Kitties";28306177
"Garfield: The Movie";74739263
"Gayby";11378
"General Education";2286
"Generation Found";151113
"Genius";1342607
"Gentleman";825874
"Gentlemen Broncos";111220
"George A. Romero's Diary of the Dead";957507
"George A. Romero's Land of the Dead";20433940
"Georgia Rule";17527705
"Geostorm";33578782
"Get Hard";90364368
"Get Him to the Greek";60701515
"Get On Up";29591355
"Get Out";175335190
"Get Rich or Die Tryin'";30982784
"Get Smart";130298471
"Getaway (2013)";10496586
"Ghajini";1708947
"Ghanchakkar";143616
"Ghost in the Shell (2017)";39948095
"Ghost in the Shell 2: Innocence";924482
"Ghost Rider";114099450
"Ghost Rider: Spirit of Vengeance";50667717
"Ghost Ship";29662862
"Ghost Town";13067490
"Ghostbusters";220919997
"Ghostbusters (2016)";128317021
"Ghostbusters (30th Anniversary re-release)";1756513
"Ghostbusters II";111355067
"Ghosts of Girlfriends Past";55136700
"Gifted";24761138
"Gimme Shelter";981600
"Girl in Progress";2479452
"Girl Most Likely";1377424
"Girl Rising";1343708
"Girl with a Pearl Earring";3830000
"Girls Trip";114978355
"Gladiator";187703791
"Gleason";581877
"Glee The 3D Concert Movie";11743428
"Glitter";3865759
"Gloria (2014)";2094512
"Glory Road";35471181
"Gnomeo and Juliet";96436344
"Go For It";178891
"Goal 2: Living the Dream";150098
"Goal! The Dream Begins";3520000
"God's Not Dead";60750021
"God's Not Dead 2";20754356
"Gods and Generals";12874076
"Gods of Egypt";31070680
"Godsend";2394000
"Godzilla";132897414
"Godzilla (2014)";199922103
"Godzilla 2000";8207445
"Godzilla: The Japanese Original";133726
"Going in Style (2017)";44917566
"Going the Distance";17627139
"Gold";7209416
"Gone";11582196
"Gone Baby Gone";19326000
"Gone Girl";167674180
"Gone in 60 Seconds";99998463
"Good Boy!";37566230
"Good Hair";4157104
"Good Luck Chuck";34831451
"Good Night, and Good Luck.";30455120
"Good Time";1983194
"Goodbye Christopher Robin";1699638
"Goodbye Solo";866887
"Goodnight Mommy";1066009
"Goon";1724882
"Goosebumps";79968628
"Gori Tere Pyaar Mein";314418
"Gosford Park";16925860
"Gothika";59537388
"Gotta Dance";2932
"Grace Is Gone";46915
"Grace Unplugged";2506852
"Gracie";2918117
"Gran Torino";148017037
"Grand Illusion (2012 re-release)";171596
"Grandma's Boy";6020134
"Grandma (2015)";5423711
"Grassroots";9947
"Gravity";274062042
"Gray Matters";33144
"Grease (Sing-a-Long re-issue)";289126
"Greater";1971978
"Green Lantern";116042554
"Green Room";3168733
"Green Zone";34971275
"Greenberg";3821546
"Gridiron Gang";32105555
"Grind";4984630
"Grindhouse";24865062
"Grizzly Man";3047732
"Groundhog Day";68504696
"Grown Ups";149454462
"Grown Ups 2";129698653
"Grudge Match";29769414
"Guardians of the Galaxy";319794624
"Guardians of the Galaxy Vol. 2";389429205
"Guess Who";64943561
"Gulliver's Travels";42743345
"Guzaarish";915223
"Hacksaw Ridge";66947543
"Hail, Caesar!";28477880
"Hairspray (2007)";117990718
"Half Past Dead";14461366
"Hall Pass";44969919
"Halloween (2007)";58250872
"Halloween II (2009)";33008281
"Hamlet 2";4884381
"Hancock";227211630
"Hands of Stone";4688806
"Hanging Up";26908883
"Hanna";40224917
"Hannah Montana The Movie";66782138
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour";62378141
"Hannibal Rising";27660197
"Hansel and Gretel: Witch Hunters";55220488
"Happily N'Ever After";14880079
"Happy-Go-Lucky";3220611
"Happy Death Day";55587750
"Happy Endings";1291227
"Happy Feet";197962788
"Happy Feet Two";63945055
"Happy Tears";21568
"HappyThankYouMorePlease";178701
"Hard Candy";975169
"Hardcore Henry";9191802
"Harold and Kumar Escape from Guantanamo Bay";37946663
"Harold and Kumar Go to White Castle";3736000
"Harrison's Flowers";1822680
"Harry Potter and the Chamber of Secrets";261988227
"Harry Potter and the Deathly Hallows Part 1";294943653
"Harry Potter and the Deathly Hallows Part 2";380717822
"Harry Potter and the Goblet of Fire";289932678
"Harry Potter and the Half-Blood Prince";301922914
"Harry Potter and the Order of the Phoenix";291963190
"Harry Potter and the Prisoner of Azkaban";249358727
"Harry Potter and the Sorcerer's Stone";288516174
"Harsh Times";3318265
"Hart's War";16403041
"Hasee Toh Phasee";642610
"Haute Cuisine";217883
"Haven";133516
"Haywire";18838855
"Hazlo Como Hombre (Do It Like An Hombre)";2506341
"He's Just Not That Into You";93934381
"He Named Me Malala";2199919
"Head of State";37566861
"Head Over Heels";10294510
"Heaven is for Real";90216735
"Heaven Knows What";71040
"Hecho En Mexico";23583
"Hector And The Search For Happiness";942151
"Hell or High Water";26757337
"Hellboy";56137408
"Hellboy II: The Golden Army";75374075
"Hello, My Name is Doris";14415010
"Henry Poole Is Here";1821726
"Her (2013)";25466048
"Herbie: Fully Loaded";62658313
"Hercules (2014)";72417594
"Here Comes the Boom";43599656
"Here on Earth";6586351
"Hereafter";32684455
"Hero";21403000
"Heroine";560285
"Heropanti";54883
"Hey Arnold! The Movie";5706332
"Hidalgo";57690963
"Hidden Figures";169321549
"Hide and Seek";50806962
"High Crimes";41392218
"High Fidelity";22107509
"High School Musical 3: Senior Year";88751254
"High Tension";3681066
"Highway (2014)";425479
"Hillary's America: The Secret History of the Democratic Party";13087586
"Hillsong - Let Hope Rise";2276838
"Himmatwala";197770
"Hiroshima Mon Amour (2014 re-release)";83253
"Hit and Run";13714137
"Hitch";177118832
"Hitchcock";5974150
"Hitchcock/Truffaut";199266
"Hitman";39632647
"Hitman: Agent 47";22406520
"Holes";61487042
"Hollow Man";67684741
"Hollywood Homicide";27801291
"Hollywoodland";13803000
"Home (2015)";177346434
"Home Again";26984855
"Home on the Range";43714062
"Homefront";20122876
"Honey";29973370
"Hoodwinked";51348411
"Hoodwinked Too! Hood vs. Evil";10027181
"Hook";114311508
"Hop";107589360
"Hope Springs";62937722
"Horns";173948
"Horrible Bosses";117107262
"Horrible Bosses 2";54352227
"Hostage";27953419
"Hostel";46112514
"Hostel Part II";17503967
"Hostiles";85745
"Hot Fuzz";22495287
"Hot Pursuit";34214056
"Hot Rod";13646746
"Hot Tub Time Machine";50007104
"Hot Tub Time Machine 2";9628187
"Hotel for Dogs";72637068
"Hotel Normandy";2788
"Hotel Rwanda";23076969
"Hotel Transylvania";145321690
"Hotel Transylvania 2";169694056
"Hounddog";122704
"House (2008)";569792
"House at the End of The Street";31519757
"House of 1,000 Corpses";9965867
"House of D";210102
"House of Fools";56332
"House of Sand and Fog";13020417
"House of Wax";31676989
"House on Haunted Hill";38731092
"How Do You Know";21808891
"How High";31178740
"How She Move";7047239
"How Stella Got Her Groove Back";37387675
"How the Grinch Stole Christmas";260041350
"How to be a Latin Lover";31380272
"How to Be Single";46478255
"How to Deal";13226495
"How to Eat Fried Worms";5571313
"How to Lose a Guy in 10 Days";105672414
"How to Lose Friends and Alienate People";2768010
"How to Train Your Dragon";215714814
"How to Train Your Dragon 2";176980231
"Howl's Moving Castle";2835821
"Hubble 3D";27350073
"Hugo";73649363
"Hulk";131723245
"Hunt for the Wilderpeople";5203674
"Husbands in Goa";7455
"Hustle and Flow";22199501
"Hyde Park on Hudson";6164975
"I'll See You In My Dreams";7427896
"I'll Sleep When I'm Dead";356774
"I'm In Love With a Church Girl";1867087
"I'm Not Ashamed";2082834
"I'm Not There";3971213
"I Am Legend";256343491
"I Am Number Four";53667802
"I Am Sam";10990183
"I Don't Belong Anywhere: The Cinema of Chantal Akerman";737
"I Don't Know How She Does It";9603561
"I Hate Luv Storys";847185
"I Heart Huckabees";12576126
"I Hope They Serve Beer in Hell";1414725
"I Know Who Killed Me";4376630
"I Love You Beth Cooper";14709366
"I Love You, Man";71347010
"I Love You, Phillip Morris";2019469
"I Now Pronounce You Chuck and Larry";119318320
"I Origins";166120
"I Spit on Your Grave";89821
"I Spy";33013890
"I Think I Love My Wife";12507483
"I Want Your Money";425899
"I, Frankenstein";18750712
"I, Robot";144741046
"I, Tonya";2351353
"I.O.U.S.A.";820900
"Ice Age";176378135
"Ice Age: Collision Course";63750096
"Ice Age: Continental Drift";161305525
"Ice Age: Dawn of the Dinosaurs";196340014
"Ice Age: The Meltdown";195079863
"Ice Princess";16003663
"Identity";50395107
"Identity Thief";134363675
"Idlewild";12529875
"If I Stay";50435537
"Igby Goes Down";4650954
"Igor";19445931
"Il Boom (2017 re-release)";57962
"Illegal Tender";2010060
"Imagine Me and You";629809
"Imagine That";15712603
"Immigration Tango";24031
"Immortals";83410059
"In a Valley of Violence";51095
"In a World";2961193
"In America";15496172
"In Bruges";7667097
"In Dreams";10337697
"In Good Company";45092207
"In Her Shoes";32828678
"In Pursuit of Silence";22898
"In Secret";390322
"In the Cut";727965
"In the Heart of the Sea";24860870
"In the Land of Blood and Honey";294351
"In the Land of Women";10929133
"In the Line of Fire";102065825
"In the Mix";6619389
"In the Steps of Trisha Brown";4581
"In the Valley of Elah";6768327
"In This Corner of the World";168934
"In Time";37514383
"Inception";292558188
"InchAllah (U.S. only)";8136
"Independence Day";306156090
"Independence Day: Resurgence";102892875
"Indiana Jones and the Kingdom of the Crystal Skull";316867229
"Indignation";3400003
"Infamous";1142424
"Inferno";34221651
"Inglourious Basterds";120385804
"Ingrid Bergman: In Her Own Words";133616
"Ingrid Goes West";3002208
"Inherent Vice";7680771
"Inkheart";17221882
"Inside Deep Throat";671194
"Inside Llewyn Davis";13129939
"Inside Man";88476040
"Inside Out";353584508
"Insidious";53992149
"Insidious Chapter 2";83440301
"Insidious Chapter 3";52090145
"Insomnia";67082388
"Inspector Gadget";88024832
"Instructions Not Included";44389404
"Interstellar";187730342
"Intimate Strangers";2090489
"Into the Blue";2411781
"Into The Storm";47462769
"Into the Wild";18281372
"Into the Woods";123980621
"Intolerable Cruelty";34996720
"Introducing the Dwights";334200
"Invictus";37112959
"Invincible";56102054
"Iron Man";318305950
"Iron Man 2";311329563
"Iron Man 3";405393205
"Iron Sky";66576
"Irreversible";776841
"Is Anybody There?";2009440
"Island of Lemurs: Madagascar (IMAX)";
"ISM";133927
"Isn't She Great";1484955
"It";327235912
"It's Complicated";112727200
"It's Kind of a Funny Story";5787094
"It Comes At Night";13842338
"It Follows";14646380
"It Runs in the Family";3393192
"Itty Bitty Titty Committee";11505
"J. Edgar";37191494
"Jack and Jill";71635888
"Jack Goes Boating";530204
"Jack Reacher";79492413
"Jack Reacher: Never Go Back";58546937
"Jack Ryan: Shadow Recruit";50555331
"Jack the Giant Slayer";65059333
"Jackass 3-D";117052883
"Jackass Presents: Bad Grandpa";101337759
"Jackass: Number Two";72778712
"Jackass: The Movie";64088388
"Jackie";13753114
"Jagga Jasoos";855738
"Jane Eyre";11196173
"Jane Got a Gun";835572
"Jarhead";62422775
"Jason Bourne";161553325
"Jason X";7364006
"Je T'aime, Je T'aime (2014 re-issue)";57736
"Jeepers Creepers 2";34350476
"Jeff, Who Lives at Home";4144515
"Jem and the Holograms";1835395
"Jennifer's Body";16128173
"Jeremiah Tower";187073
"Jerry Maguire";149830057
"Jersey Boys";46763861
"Jersey Girl";10126000
"Jesus Henry Christ";19314
"Jet Li's Fearless";16604000
"Jigsaw";37380988
"Jimi: All Is By My Side";120083
"Jimmy Neutron: Boy Genius";76524353
"Jobs";16120375
"Joe (2014)";310657
"Joe Dirt";22873554
"Joe Somebody";22770864
"John Carter";65640996
"John Q.";42674645
"John Tucker Must Die";40908602
"John Wick";42820432
"John Wick: Chapter Two";91129571
"Johnny English";27593050
"Johnny English Reborn";6628855
"Johnny Mnemonic";8510118
"Johnson Family Vacation";30915072
"Joker";29141
"Jonah Hex";10478531
"Jonah: A VeggieTales Movie";20128317
"Jonas Brothers: The 3D Concert Experience";9658784
"Joshua";470967
"Josie and the Pussycats";13194345
"Journey 2: The Mysterious Island";103219429
"Journey from the Fall";590032
"Journey to the Center of the Earth";101689940
"Journey to the West: The Demons Strike Back";873814
"Joy";56359659
"Joyful Noise";30635046
"Judwaa 2";439287
"Judy Moody and the NOT Bummer Summer";14880456
"Julie & Julia";93457892
"Jumanji: Welcome to the Jungle";169002557
"Jumper";79853960
"Jumping the Broom";34810700
"Juno";143402525
"Jupiter Ascending";47340105
"Jurassic Park";355884135
"Jurassic Park 3D";42499340
"Jurassic Park III";181069240
"Jurassic World";651848541
"Just Before I Go";9703
"Just Friends";14952000
"Just Go With It";102777615
"Just Like Heaven";48310648
"Just Married";56100565
"Just My Luck";17114366
"Just One Drop";39213
"Just Wright";21248913
"Justice League";225546295
"Justin Bieber: Never Say Never";72926929
"Juwanna Mann";10115907
"K-19: The Widowmaker";35104353
"K-PAX";50295015
"Kaashmora";307674
"Kahlil Gibran's The Prophet";336849
"Kai Po Che";1116294
"Kaminey";1208927
"Kangaroo Jack";66417588
"Kapoor & Sons - Since 1921";2111942
"Kaptaan";200831
"Katti Batti";361667
"Katy Perry: Part of Me";24366261
"Keanu";20591853
"Keep On Keepin' On";151971
"Keep Watching";94178
"Keeping the Faith";34975876
"Keeping Up with the Joneses";14762828
"Keeping Up with the Steins";2102000
"Kevin Hart: Laugh at My Pain";7702302
"Kevin Hart: Let Me Explain";31708669
"Kevin Hart: What Now?";22099375
"Khoobsurat";650612
"Kick";1660737
"Kick-Ass";48064422
"Kick-Ass 2";25755315
"Kickin' It Old Skool";4490811
"Kicking and Screaming";52580895
"Kidnap (2017)";30698156
"Kill Bill Vol. 1";57221322
"Kill Bill Vol. 2";64084276
"Kill the Irishman";1188194
"Kill the Messenger";2436161
"Killer Elite";24923231
"Killers";46608073
"Killing Them Softly";14836630
"Killshot";16659
"Kindergarten Cop";90845286
"King's Ransom";3289000
"King Arthur";48119139
"King Arthur: Legend of the Sword";38767178
"King Kong";217986415
"Kingdom Come";23045860
"Kingdom of Heaven";47340636
"Kingsglaive: Final Fantasy: XV";248688
"Kingsman: The Golden Circle";99985414
"Kingsman: The Secret Service";128017991
"Kinky Boots";405196
"Kinsey";10254979
"Kirk Cameron's Saving Christmas";2465354
"Kiss Kiss, Bang Bang";4205036
"Kissing Jessica Stein";7000818
"Kit Kittredge: An American Girl";17644824
"Kites";1497645
"Kites: The Remix";31191
"Knight & Day";76408367
"Knights of Badassdom";64251
"Knocked Up";147928880
"Knowing";79923582
"Kon-Tiki";1498994
"Kong: Skull Island";167517150
"Krampus";41465710
"Ktown Cowboys";18863
"Kubo and the Two Strings";48021726
"Kung Fu Hustle";11749000
"Kung Fu Panda";215227613
"Kung Fu Panda 2";164342319
"Kung Fu Panda 3";143467597
"Kung Pow! Enter the Fist";15989787
"Kurbaan";686197
"L'Auberge Espagnole";2799135
"L'important C'est D'aimer (2017 Re-Release)";14619
"La La Land";150370985
"La Mujer de Mi Hermano";2342678
"La Notte (2016 re-release)";33075
"La Soga";147666
"La Vie en Rose";10292620
"Labios Rojos";135109
"Labor Day";13218277
"Ladder 49";66118796
"Ladron Que Roba A Ladron";3895601
"Ladrones";2931091
"Lady Bird";31432463
"Lady in the Water";41717798
"Lady Macbeth";1127460
"Lake Placid";25657309
"Lakeview Terrace";39117708
"Land of the Lost";49148725
"Lara Croft Tomb Raider: The Cradle of Life";65598171
"Larry Crowne";35107945
"Larry the Cable Guy: Health Inspector";15419806
"Lars and the Real Girl";5942218
"Last Action Hero";49618631
"Last Chance Harvey";14730362
"Last Flag Flying";716844
"Last Flight of the Champion";989
"Last Holiday";38225683
"Last Rampage";5729
"Last Vegas";63806358
"Last Year at Marienbad (re-issue)";130724
"Laurel Canyon";2680555
"Law Abiding Citizen";73343413
"Lawless";37348983
"Lawrence of Arabia (re-issue) (2002)";161690
"Laws of Attraction";2240000
"LBJ";2430288
"Le Divorce";8941844
"Le Joli Mai";40551
"Le Petit Soldat (2013 re-release)";18647
"Le Trou (2017 re-release)";4396
"League of Gods";84779
"Leap Year";25893485
"Leap!";21852402
"Leatherheads";31184020
"Lee Daniels' The Butler";116616539
"Left Behind (2014)";13913560
"Legally Blonde 2: Red, White and Blonde";89684776
"Legend";1852124
"Legend of the Guardians: The Owls of Ga'Hoole";55486413
"Legends of Oz: Dorothy's Return";8462347
"Legion (2010)";39649858
"Lemony Snicket's A Series of Unfortunate Events";118503433
"Leon Morin, Priest (2017 re-release)";36712
"Leonard Cohen I'm Your Man";976317
"Les Miserables (2012)";148775460
"Let's Be Cops";82382694
"Let's Go to Prison";4395410
"Let Me In";12130542
"Let there be Light";7208088
"Letters from Iwo Jima";13658167
"Letters to God";2838982
"Letters to Juliet";52720767
"Level Five";24751
"Levity";91066
"Liar Liar";181213585
"License to Wed";43792641
"Life (2017)";30232325
"Life as We Know It";52727343
"Life of Crime";104300
"Life of Pi";124975030
"Life, Animated";252305
"Life, or Something Like It";14330412
"Lights Out";65628343
"Like Crazy";3365267
"Like Mike";51401938
"Lilo & Stitch";141041051
"Limitless";79203161
"Lincoln";179086056
"Linsanity";285067
"Lion";51694854
"Lions for Lambs";14995165
"Listen to Me Marlon";17398
"Little Black Book";19926177
"Little Boy";6345572
"Little Children";841000
"Little Fockers";147991975
"Little Man";50792184
"Little Manhattan";252878
"Little Miss Sunshine";59840030
"Little Shop of Horrors: The Director's Cut";233865
"Little White Lies";48032
"Little Women (1994)";15999996
"Live By Night";10371078
"Live Fast, Die Young";14478
"Live Free or Die Hard";134397016
"Local Color";31612
"Lockout";13420764
"Logan";226133452
"Logan Lucky";27769812
"Lola Montes (re-issue)";112991
"Lola Versus";237148
"London Dreams";142961
"London Has Fallen";62512722
"Lone Survivor";124974446
"Long Shot: The Kevin Laue Story (2013)";12643
"Looking for Comedy in the Muslim World";884636
"Looney Tunes: Back in Action";20382757
"Looper";66475042
"Lord of War";24132638
"Loser";12528403
"Lost and Found in Armenia";117191
"Lost in La Mancha";20000
"Lost in Translation";37044000
"Lost River";45431
"Lottery Ticket";24708699
"Lou Reed's Berlin";25053
"Louder than Bombs";118734
"Love & Basketball";25567237
"Love & Friendship";13988577
"Love & Mercy";12550692
"Love (2015)";23124
"Love Actually";59055855
"Love and a Bullet";6959
"Love and Other Drugs";32277985
"Love Don't Cost a Thing";21861424
"Love Happens";22902820
"Love in the Time of Cholera";3612000
"Love is in the Air";1754
"Love Me If You Dare";541451
"Love the Coopers";26054993
"Love, Kennedy";405568
"Loving ";7456108
"Loving Jezebel";53147
"Lowriders";5513600
"Lucia, Lucia";105087
"Luck-Key";283637
"Luck by Chance";176021
"Lucky Number Slevin";22481674
"Lucky You";5754219
"Lucy";126496540
"Lust, Caution";4527645
"LUV";146089
"M.S. Dhoni: The Untold Story";386498
"Macbeth (2015)";1077472
"MacGruber";7674445
"Machete";26552544
"Machete Kills";7469708
"Machine Gun Preacher";538476
"Mad Hot Ballroom";8036661
"Mad Love (2002)";16769
"Mad Max: Fury Road";153020125
"Mad Money";20655474
"Madagascar";192794386
"Madagascar 3: Europe's Most Wanted";216096344
"Madagascar: Escape 2 Africa";179212368
"Made in Cleveland";9874
"Made in France";9105
"Made in U.S.A. (re-issue)";83002
"Made of Honor";42421935
"Madison";425268
"Magic Mike";113277977
"Magic Mike XXL";65898312
"Magnolia";17580003
"Maid in Manhattan";92986338
"Main Aurr Mrs. Khanna";194551
"Make Your Move";124418
"Maleficent";233468131
"Malibu's Most Wanted";34239824
"Mama";71588220
"Mamma Mia!";143617005
"Man of Steel";290539762
"Man of the House";9300751
"Man of the Year";37327390
"Man on a Ledge";18614418
"Man on Fire";77760573
"Man on the Moon";33827285
"Man on the Train";2534944
"Manchester by the Sea";47674769
"Mandela: Long Walk to Freedom";8258451
"Manderlay";17811
"Manic";9143
"Manuscripts Don't Burn";3990
"Maps to the Stars";105157
"March of the Penguins";77431647
"Marci X";1469115
"Margaret";2072
"Margin Call";5237509
"Margot at the Wedding";1959420
"Marguerite";153601
"Maria Full of Grace";790000
"Marie Antoinette";10196631
"Marley and Me";143008767
"Marmaduke";33575110
"Marooned in Iraq";9133
"Mars Needs Moms";20023746
"Marshall";9468318
"Martha Marcy May Marlene";2622600
"Martin Lawrence Live: Runteldat";19184820
"Marvel's The Avengers";618233009
"Mas Negro Que La Noche";609165
"Master and Commander: The Far Side of the World";93911689
"Masterminds (2016)";17293554
"Match Point";21690865
"Matchstick Men";36455469
"Material Girls";11374659
"Max (2015)";42593559
"Max Payne";40438648
"Max Steel";3785761
"Maximum Risk";12886305
"Maze Runner: The Scorch Trials";81630702
"McFarland, USA";40861623
"Me and Earl and the Dying Girl";6529973
"Me and Orson Welles";1129690
"Me Before You";56009152
"Me, Myself and Irene";86266693
"Mean Creek";603520
"Mean Girls";86030302
"Mechanic: Resurrection";20864599
"Meet Dave";11703916
"Meet Monica Velour";22499
"Meet the Blacks";9077310
"Meet the Fockers";279147420
"Meet the Mormons";6044337
"Meet the Parents";165538905
"Meet the Patels";1692458
"Meet the Robinsons";88596734
"Meet the Spartans";38153869
"Megamind";146989580
"Megan Leavey";13179238
"Melinda and Melinda";3800391
"Memento";14960995
"Memoirs of a Geisha";54130076
"Men in Black";244521142
"Men in Black II";190067190
"Menashe";1665043
"Metallica Through the Never";1684469
"Miami Vice";63428235
"MIB 3";178644789
"Michael Clayton";48704674
"Michael Jackson's This Is It";71900049
"Mickey Blue Eyes";32996533
"Middle School: The Worst Years of My Life";20001032
"Midnight in Paris";46851966
"Midnight Special";3565168
"Mike and Dave Need Wedding Dates";45754968
"Milk";31796665
"Millennium Actress";37586
"Million Dollar Arm";27034144
"Million Dollar Baby";100385482
"Millions";6555434
"Minimalism: A Documentary About the Important Things";161162
"Minions";335852520
"Minority Report";132024714
"Miracle";56328330
"Miracle at St. Anna";4112266
"Miracles from Heaven";61591986
"Miral";358488
"Mirror Mirror";64876694
"Mirrors";30642478
"Miss Congeniality";94158784
"Miss Congeniality 2: Armed and Fabulous";48454853
"Miss Hokusai";183730
"Miss India America";1598
"Miss March";4498961
"Miss Peregrine's Home for Peculiar Children";87231035
"Miss Pettigrew Lives for a Day";12065113
"Miss Potter";2853860
"Miss Sloane";3484995
"Miss Stevens";4024
"Mission to Mars";52128480
"Mission: Impossible";164266086
"Mission: Impossible - Ghost Protocol";209214499
"Mission: Impossible - Rogue Nation";193715765
"Mission: Impossible II";211366818
"Mission: Impossible III";131970676
"Mistress America";944882
"Moana";248478173
"Mohenjo Daro";1255887
"Molly's Game";5377480
"Mommy";3487806
"Moms' Night Out";10291336
"Mona Lisa Smile";62889318
"Money Monster";41008532
"Moneyball";74896695
"Mongol";5684339
"Monkey Kingdom";11291652
"Monster";34400928
"Monster-in-Law";63374000
"Monster House";72530175
"Monster Trucks";32821894
"Monsters University";262905944
"Monsters Vs. Aliens";197926692
"Monsters, Inc.";250822376
"Monsters, Inc. (3D)";20013980
"Monte Carlo";22913101
"Moonlight (2016)";27850912
"Moonlight Mile";6045882
"Moonrise Kingdom";45511131
"More Than a Game";811988
"Morning";3049
"Morning Glory";30727814
"Morris from America";40283
"Mortdecai";6604831
"Mostly Martha";4133232
"Mother's Day";32216536
"mother!";15928070
"Motherhood";72338
"Moulin Rouge!";57039601
"Mouse Hunt";61916377
"Movie 43";8803979
"Mr. & Mrs. Smith";186222668
"Mr. 3000";16574878
"Mr. Bean's Holiday";31818685
"Mr. Brooks";28348241
"Mr. Church";685780
"Mr. Deeds";124363546
"Mr. Holmes";17734406
"Mr. Magorium's Wonder Emporium";31854256
"Mr. Peabody & Sherman";111367176
"Mr. Popper's Penguins";68077477
"Mr. Woodcock";19578594
"Mrs. Henderson Presents";11035728
"Mubarakan";347281
"Much Ado About Nothing (2013)";4319852
"Mud";21586630
"Mugamoodi";18166
"Mulholland Drive";7217533
"Munger Road";245304
"Munich";46178425
"Muppets Most Wanted";33789431
"Muran";5121
"Murder by Numbers";31874869
"Murder on the Orient Express (2017)";100619624
"Music and Lyrics";50442695
"Music of the Heart";3653281
"Music Within";153038
"Must Love Dogs";43640391
"Mustang";825552
"My Baby's Daddy";16648000
"My Best Friend's Girl";15355637
"My Best Friend's Wedding (2016)";78513
"My Big Fat Greek Wedding";237402345
"My Big Fat Greek Wedding 2";56990595
"My Bloody Valentine 3-D";51460119
"My Blueberry Nights";858537
"My Boss's Daughter";10595431
"My Cousin Rachel";2711866
"My Entire High School Sinking Into the Sea";43568
"My Life as a Zucchini";308108
"My Life in Ruins";8565348
"My Little Pony: The Movie";21827030
"My Name Is Bruce";119909
"My Name is Khan";3994714
"My Old Lady";3992558
"My One and Only";2434607
"My Sister's Keeper";49152399
"My Soul to Take";14637490
"My Super Ex-Girlfriend";22072875
"My Way (2012)";69926
"My Week with Marilyn";14595718
"Mystery Men";29529570
"Mystery Team";62350
"Mystic River";89859719
"N'Secure";2399148
"Nacho Libre";80043061
"Nancy Drew";24899122
"Nanny McPhee";47124400
"Nanny McPhee Returns";28302105
"Napoleon Dynamite";44374626
"Napping Princess";44854
"Narc";10357883
"NASCAR 3D: The IMAX Experience (IMAX)";19981552
"Natasha";8325
"National Lampoon's Van Wilder: The Rise of Taj";4251674
"National Security";36126290
"National Treasure";167734591
"National Treasure: Book of Secrets";206829041
"Nebraska";16839003
"Need for Speed";37983539
"Neerja";1279788
"Neighbors";149596960
"Neighbors 2: Sorority Rising";55020520
"Neil Young: Heart of Gold";1821999
"Neruda";935800
"Nerve";38517518
"Never Back Down";24412487
"Never Die Alone";5586806
"Never Let Me Go";2183701
"New in Town";15764681
"New Suit";47648
"New Year's Eve";54268096
"New York Minute";14037631
"New York, I Love You";1525661
"Next";17412859
"Next Day Air";10021985
"Next Friday";40011619
"Next Goal Wins";19700
"Nicholas Nickleby";1122409
"Nick and Norah's Infinite Playlist";30193344
"Night at the Museum";250792287
"Night at the Museum: Battle of the Smithsonian";177129403
"Night at the Museum: Secret of the Tomb";113576391
"Night Watch (Nochnoi Dozor)";1447463
"Nightcrawler";32353033
"Nights in Rodanthe";41745871
"Nim's Island";47946353
"Nine";19628645
"Nine Lives (2016)";19425279
"Ninja Assassin";38042370
"Nitro Circus the Movie 3D";3374539
"No Country for Old Men";66606000
"No culpes al karma";5439
"No Eres Tu, Soy Yo";1261394
"No Escape";27173686
"No Good Deed (2014)";52507248
"No Home Movie";29620
"No Manches Frida";11517330
"No One Killed Jessica";439951
"No Reservations";42993049
"No Strings Attached";70544580
"Noah";100820073
"Noah's Arc: Jumping the Broom";511955
"Nocturnal Animals";10107726
"Nomad (The Warrior)";67982
"Non-Stop";90547415
"Norbit";95331617
"Norm of the North";16827445
"North Country";18245513
"Northfork";1407104
"Nostalgia for the Light";152740
"Not Another Teen Movie";30864800
"Not Easily Broken";10248739
"Not Fade Away";112324
"Not Forgotten";51932
"Not Today";309550
"Notes on a Scandal";17384334
"Nothing Like the Holidays";7163279
"Notorious (2009)";36788319
"Notting Hill";115924195
"Now You See Me";116838465
"Now You See Me 2";64554806
"Now, Forager";9537
"Nowhere Boy";1426171
"Nowhere in Africa";2489300
"Nurse Betty";20521865
"Oasis: Supersonic";229338
"Oblivion";87796295
